Replicate,Harvest,Fauna Treatment,"Litter type (B, E, NL)",Soil depth (cm),Fraction,bulk density (g/cm3),volume (cm3),fraction %,g of soil in total section,Delta 13C,% Carbon,mgC/g soil,Carbon f value,litter derived C (mg/ g soil),g C in the soil in total section  ,mg litter-derived C in total section,Delta 15 N,% Nitrogen,mgN/g soil,Nitrogen f value,litter derived N (mg/ g soil),g N in the soil in total section  ,mg litter-derived N in total section,13C atom%,15 atom%
R4,H1,F,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-10.8332,3.824074403,38.24074403,0.001485397,0.056802705,66.80286198,99.22880323,28.0674,0.347024328,3.470243279,0.002407598,0.008354952,6.062177623,14.5952889,1.093792359,0.376545753
R4,H1,NF,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-12.5753,3.824074403,38.24074403,0.000666338,0.025481273,66.80286198,44.51330675,14.8723,0.347024328,3.470243279,0.001257824,0.004364955,6.062177623,7.625152432,1.091887028,0.371730807
R1,H1,F,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.261489502,32.61489502,,,,,4.25936,0.310559402,3.105594025,,,,,1.091147565,0.367857764
R1,H1,NF,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.261489502,32.61489502,,,,,3.14238,0.310559402,3.105594025,,,,,1.091147565,0.367450121
R1,H1,F,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-10.0381,3.261489502,32.61489502,0.001511277,0.04929015,130.7994998,197.6743139,19.4735,0.310559402,3.105594025,0.001476464,0.004585299,12.45474329,18.38898536,1.094661933,0.373409857
R1,H1,NF,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-12.0869,3.261489502,32.61489502,0.000547685,0.017862703,130.7994998,71.63698015,13.8795,0.310559402,3.105594025,0.001041877,0.003235646,12.45474329,12.9763064,1.092421197,0.371368512
R2,H1,F,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.261489502,32.61489502,,,,,3.01671,0.310559402,3.105594025,,,,,1.091147565,0.367404257
R2,H1,NF,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.261489502,32.61489502,,,,,2.93717,0.310559402,3.105594025,,,,,1.091147565,0.367375228
R2,H1,F,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-10.4831,3.261489502,32.61489502,0.001301985,0.042464099,130.7994998,170.2989656,20.4107,0.310559402,3.105594025,0.001687806,0.005241639,12.45474329,21.02118551,1.094175253,0.373751849
R2,H1,NF,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-12.3804,3.261489502,32.61489502,0.000409646,0.013360577,130.7994998,53.58155383,12.0341,0.310559402,3.105594025,0.000882703,0.002741318,12.45474329,10.99384197,1.092100193,0.370695076
R3,H1,F,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.261489502,32.61489502,,,,,3.08374,0.310559402,3.105594025,,,,,1.091147565,0.36742872
R3,H1,NF,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.261489502,32.61489502,,,,,3.42446,0.310559402,3.105594025,,,,,1.091147565,0.367553066
R3,H1,F,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-11.859,3.261489502,32.61489502,0.000654871,0.021358561,130.7994998,85.65684951,12.187,0.310559402,3.105594025,0.00088333,0.002743264,12.45474329,11.00164838,1.092670453,0.370750873
R3,H1,NF,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-12.3885,3.261489502,32.61489502,0.000405837,0.013236327,130.7994998,53.08326097,14.07723333,0.310559402,3.105594025,0.00103372,0.003210316,12.45474329,12.87472195,1.092091334,0.371440669
R4,H1,F,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.261489502,32.61489502,,,,,3.03514,0.310559402,3.105594025,,,,,1.091147565,0.367410983
R4,H1,NF,B,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.251395,3.261489502,32.61489502,,,,,5.083,0.310559402,3.105594025,,,,,1.091147565,0.368158351
R4,H1,F,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-13.3334,3.261489502,32.61489502,-3.86E-05,-0.001257911,130.7994998,-5.044753783,8.90829,0.310559402,3.105594025,0.000569895,0.001769863,12.45474329,7.097899704,1.091057873,0.369554363
R4,H1,NF,E,20-Oct,BULK,1.276557041,3141.592654,100,4010.422222,-12.6982,3.261489502,32.61489502,0.000260179,0.008485702,130.7994998,34.03124894,16.3181,0.310559402,3.105594025,0.001090403,0.003386351,12.45474329,13.58069563,1.09175261,0.372258408
R1,H1,F,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.272721507,6.310225104,,,,,3.58285,0.409492075,0.604763771,,,,,1.088921493,0.367610871
R1,H1,NF,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.272721507,6.310225104,,,,,3.72367,0.409492075,0.604763771,,,,,1.088921493,0.367662264
R1,H1,F,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,9.78288,4.272721507,6.310225104,0.011779425,0.074330826,2.782353533,32.7745258,109.382,0.409492075,0.604763771,0.010266662,0.006208905,0.266657146,2.737678666,1.116334543,0.406207517
R1,H1,NF,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,12.3719,4.272721507,6.310225104,0.012995929,0.082007238,2.782353533,36.15926927,310.535,0.409492075,0.604763771,0.029773123,0.018005706,0.266657146,7.939216058,1.119164722,0.479507837
R2,H1,F,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.272721507,6.310225104,,,,,3.87406,0.409492075,0.604763771,,,,,1.088921493,0.367717149
R2,H1,NF,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.272721507,6.310225104,,,,,3.30674,0.409492075,0.604763771,,,,,1.088921493,0.367510104
R2,H1,F,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,20.0449,4.272721507,6.310225104,0.016601244,0.104757589,2.782353533,46.1905308,118.686,0.409492075,0.604763771,0.01114157,0.006738018,0.266657146,2.970979268,1.127551486,0.409600284
R2,H1,NF,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,6.7385,4.272721507,6.310225104,0.010348961,0.065304276,2.782353533,28.7944695,189.861,0.409492075,0.604763771,0.018102585,0.010947788,0.266657146,4.827183714,1.113006382,0.435547085
R3,H1,F,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.272721507,6.310225104,,,,,3.60056,0.409492075,0.604763771,,,,,1.088921493,0.367617334
R3,H1,NF,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.272721507,6.310225104,,,,,3.93068,0.409492075,0.604763771,,,,,1.088921493,0.367737812
R3,H1,F,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,14.541,4.272721507,6.310225104,0.014015125,0.088438593,2.782353533,38.99503226,150.384,0.409492075,0.604763771,0.014243767,0.008614115,0.266657146,3.798202374,1.121535742,0.42115744
R3,H1,NF,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,6.84301,4.272721507,6.310225104,0.010398068,0.065614147,2.782353533,28.93110017,175.978,0.409492075,0.604763771,0.016695892,0.010097071,0.266657146,4.45207902,1.113120637,0.430487108
R4,H1,F,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.272721507,6.310225104,,,,,4.03857,0.409492075,0.604763771,,,,,1.088921493,0.367777187
R4,H1,NF,B,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,-15.2866425,4.272721507,6.310225104,,,,,3.92499,0.409492075,0.604763771,,,,,1.088921493,0.367735736
R4,H1,F,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,14.5235,4.272721507,6.310225104,0.014006902,0.088386706,2.782353533,38.97215371,172.341,0.409492075,0.604763771,0.01633265,0.009877395,0.266657146,4.355217871,1.121516614,0.429161435
R4,H1,NF,E,0-2,CLAY,0.701758354,628.3185307,14.76863188,65.11900034,11.8356,4.272721507,6.310225104,0.012743938,0.080417115,2.782353533,35.45813992,182.447,0.409492075,0.604763771,0.017324203,0.01047705,0.266657146,4.619622418,1.118578481,0.432844947
R1,H1,F,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.266763887,6.337171686,,,,,5.774,0.422542717,0.627577671,,,,,1.089957116,0.368410529
R1,H1,NF,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.266763887,6.337171686,,,,,4.43945,0.422542717,0.627577671,,,,,1.089957116,0.367923488
R1,H1,F,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-8.06734,4.266763887,6.337171686,0.002948558,0.01868552,5.510822101,16.24898024,28.7093,0.422542717,0.627577671,0.002226096,0.001397048,0.545743286,1.214876821,1.096817222,0.376779974
R1,H1,NF,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-9.08915,4.266763887,6.337171686,0.002468226,0.015641574,5.510822101,13.60195648,57.7039,0.422542717,0.627577671,0.005169168,0.003244054,0.545743286,2.821038523,1.095699749,0.387358538
R2,H1,F,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.266763887,6.337171686,,,,,4.13485,0.422542717,0.627577671,,,,,1.089957116,0.367812324
R2,H1,NF,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.266763887,6.337171686,,,,,4.31521,0.422542717,0.627577671,,,,,1.089957116,0.367878147
R2,H1,F,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-8.01805,4.266763887,6.337171686,0.002971729,0.018832354,5.510822101,16.37666718,32.7951,0.422542717,0.627577671,0.002781316,0.001745492,0.545743286,1.517884431,1.096871126,0.378270797
R2,H1,NF,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-7.332,4.266763887,6.337171686,0.003294227,0.020876079,5.510822101,18.15389646,44.932,0.422542717,0.627577671,0.0039417,0.002473723,0.545743286,2.151156123,1.097621391,0.382699038
R3,H1,F,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.266763887,6.337171686,,,,,3.61969,0.422542717,0.627577671,,,,,1.089957116,0.367624316
R3,H1,NF,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.266763887,6.337171686,,,,,3.70712,0.422542717,0.627577671,,,,,1.089957116,0.367656224
R3,H1,F,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-8.6411,4.266763887,6.337171686,0.002678845,0.016976304,5.510822101,14.76264094,33.7972,0.422542717,0.627577671,0.002928411,0.001837805,0.545743286,1.598160613,1.096189749,0.378636436
R3,H1,NF,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-8.634,4.266763887,6.337171686,0.002682183,0.016997455,5.510822101,14.78103367,38.233,0.422542717,0.627577671,0.003350403,0.002102638,0.545743286,1.828459992,1.096197514,0.380254905
R4,H1,F,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.266763887,6.337171686,,,,,5.191,0.422542717,0.627577671,,,,,1.089957116,0.368197765
R4,H1,NF,B,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-14.3398075,4.266763887,6.337171686,,,,,4.11239,0.422542717,0.627577671,,,,,1.089957116,0.367804127
