Sample_No,Project,Rep,Cover_Treatment,Fumigation_Treatment,Depth_cm,Top_Depth_cm,Bottom_Depth_cm,Full_name,Bulk_N_Pct,Bulk_15N_Atom_Pct,Bulk_C_Pct,Bulk_d13C,lPOM_N_Pct,lPOM_15N_Atom_Pct,lPOM_C_Pct,lPOM_d13C,CHOM_N_Pct,CHOM_15N_Atom_Pct,CHOM_C_Pct,CHOM_d13C,MAOM_N_Pct,MAOM_15N_Atom_Pct,MAOM_C_Pct,MAOM_d13C,Bulk_Density_g_cm3,Proportion_lPOM_Mass,Proportion_CHOM_Mass,Proportion_MAOM_Mass
22,Bluestem,2,B,NF,5-10,5,10,22.Bluestem R2 B NF 5-10 (NA),0.25,0.3691,3.39,-15.01,,,,,,,,,,,,,1,,,
23,Bluestem,3,B,NF,5-10,5,10,23.Bluestem R3 B NF 5-10 (NA),0.26,0.3691,3.58,-13.62,,,,,,,,,,,,,1,,,
24,Bluestem,4,B,NF,5-10,5,10,24.Bluestem R4 B NF 5-10 (NA),0.26,0.3691,3.5,-14.65,,,,,,,,,,,,,1,,,
25,Bluestem,1,E,F,0-2,0,2,25.Bluestem R1 E F 0-2 (Enr.),0.38,0.4215,5.68,1.46,1.39,0.4203,27.36,-6.67,0.400751856,0.446027261,6.118141046,24.03311849,0.32,0.4191,3.94,3.92,1.17,6.396168479,6.372993955,85.74573685
26,Bluestem,2,E,F,0-2,0,2,26.Bluestem R2 E F 0-2 (Enr.),0.32,0.4112,4.52,-3.39,1.4,0.4095,26.82,-6.62,0.210517642,0.429391227,3.299414684,5.789968533,0.23,0.4059,2.98,-3.74,1.17,3.846594818,5.923717802,89.42903004
27,Bluestem,3,E,F,0-2,0,2,27.Bluestem R3 E F 0-2 (Enr.),0.37,0.3996,5.41,-1.99,1.38,0.3938,25.33,-7.29,0.179069061,0.41338872,2.767145779,9.860604916,0.24,0.397,3.08,-0.97,1.17,6.653418428,5.541330684,86.75048725
28,Bluestem,4,E,F,0-2,0,2,28.Bluestem R4 E F 0-2 (Enr.),0.32,0.4157,4.61,0.61,1.08,0.4186,23.17,-4.46,0.213646078,0.43725586,3.520210474,13.82951132,0.24,0.4106,3.02,0.64,1.17,4.213090607,6.0429807,87.8120633
29,Bluestem,1,E,F,2-5,2,5,29.Bluestem R1 E F 2-5 (Enr.),0.32,0.3967,4.58,-7.22,1.22,0.3992,27.35,-14.53,0.138033831,0.417605421,2.177446359,3.990668114,0.25,0.3942,3.11,-6.89,0.78,2.838614477,4.853991923,89.31345138
30,Bluestem,2,E,F,2-5,2,5,30.Bluestem R2 E F 2-5 (Enr.),0.29,0.3949,4.08,-8.13,1.23,0.3993,25.6,-11.26,0.157447693,0.413439818,2.406514936,-1.785398319,0.23,0.3917,2.76,-8.6,0.78,2.512028753,6.183455392,88.11423934
31,Bluestem,3,E,F,2-5,2,5,31.Bluestem R3 E F 2-5 (Enr.),0.32,0.4084,4.41,2.86,1.34,0.4117,27.29,-0.05,0.164540372,0.448029482,2.600111138,33.53191081,0.24,0.4035,3.13,3.01,0.78,2.742315033,6.114621357,88.56936389
32,Bluestem,4,E,F,2-5,2,5,32.Bluestem R4 E F 2-5 (Enr.),0.31,0.411,4.3,0.09,1.11,0.4168,25.37,-5.46,0.12719182,0.438411284,2.264888273,13.71970643,0.23,0.4027,2.85,-1.94,0.78,2.720906203,5.357621216,90.31418622
33,Bluestem,1,E,F,5-10,5,10,33.Bluestem R1 E F 5-10 (Enr.),0.27,0.3819,3.63,-11.49,,,,,,,,,,,,,1,,,
34,Bluestem,2,E,F,5-10,5,10,34.Bluestem R2 E F 5-10 (Enr.),0.23,0.3794,3.08,-11.64,,,,,,,,,,,,,1,,,
35,Bluestem,3,E,F,5-10,5,10,35.Bluestem R3 E F 5-10 (Enr.),0.27,0.3808,3.53,-10.37,,,,,,,,,,,,,1,,,
36,Bluestem,4,E,F,5-10,5,10,36.Bluestem R4 E F 5-10 (Enr.),0.26,0.3827,3.44,-10.37,,,,,,,,,,,,,1,,,
37,Bluestem,1,E,NF,0-2,0,2,37.Bluestem R1 E NF 0-2 (Enr.),0.33,0.4359,4.83,11.15,,,,,,,,,,,,,1.17,,,
38,Bluestem,2,E,NF,0-2,0,2,38.Bluestem R2 E NF 0-2 (Enr.),0.31,0.4064,4.49,-2.53,,,,,,,,,,,,,1.17,,,
39,Bluestem,3,E,NF,0-2,0,2,39.Bluestem R3 E NF 0-2 (Enr.),0.38,0.4262,5.69,4.4,,,,,,,,,,,,,1.17,,,
40,Bluestem,4,E,NF,0-2,0,2,40.Bluestem R4 E NF 0-2 (Enr.),0.43,0.4385,6.29,8.01,,,,,,,,,,,,,1.17,,,
41,Bluestem,1,E,NF,2-5,2,5,41.Bluestem R1 E NF 2-5 (Enr.),0.28,0.4062,3.92,-1.89,,,,,,,,,,,,,0.78,,,
42,Bluestem,2,E,NF,2-5,2,5,42.Bluestem R2 E NF 2-5 (Enr.),0.3,0.3893,4.16,-8.45,,,,,,,,,,,,,0.78,,,
43,Bluestem,3,E,NF,2-5,2,5,43.Bluestem R3 E NF 2-5 (Enr.),0.34,0.4205,4.79,2.66,,,,,,,,,,,,,0.78,,,
44,Bluestem,4,E,NF,2-5,2,5,44.Bluestem R4 E NF 2-5 (Enr.),0.35,0.4189,4.95,1.16,,,,,,,,,,,,,0.78,,,
45,Bluestem,1,E,NF,5-10,5,10,45.Bluestem R1 E NF 5-10 (Enr.),0.21,0.387,2.83,-10.11,,,,,,,,,,,,,1,,,
46,Bluestem,2,E,NF,5-10,5,10,46.Bluestem R2 E NF 5-10 (Enr.),0.23,0.3793,3.21,-11.87,,,,,,,,,,,,,1,,,
47,Bluestem,3,E,NF,5-10,5,10,47.Bluestem R3 E NF 5-10 (Enr.),0.24,0.3855,3.3,-10.08,,,,,,,,,,,,,1,,,
48,Bluestem,4,E,NF,5-10,5,10,48.Bluestem R4 E NF 5-10 (Enr.),0.24,0.3881,3.21,-10.42,,,,,,,,,,,,,1,,,
49,BlackC,1,BC_B,NA,0-2,0,2,49.BlackC R1 B 0-2 (NA),0.39,0.3677,5.4,-17.04,1.56,0.3678,29.04,-19.8,0.16,0.3684,2.46,-18.68,0.26,0.3686,2.98,-15.69,0.7,9.137802571,3.629902757,84.63404849
50,BlackC,2,BC_B,NA,0-2,0,2,50.BlackC R2 B 0-2 (NA),0.31,0.3678,4.27,-15.29,1.34,0.3686,26.46,-17.33,0.22,0.3689,3.4,-16.11,0.26,0.3694,3.09,-14.48,0.7,4.221913383,4.319573301,86.57927356
51,BlackC,3,BC_B,NA,0-2,0,2,51.BlackC R3 B 0-2 (NA),0.35,0.3677,4.9,-16.5,1.35,0.3685,25.72,-19.36,0.18,0.3693,2.64,-17.7,0.27,0.3689,3.08,-14.99,0.7,7.17294098,2.783086257,85.16243947
52,BlackC,4,BC_B,NA,0-2,0,2,52.BlackC R4 B 0-2 (NA),0.4,0.3675,5.94,-14.68,1.41,0.3683,26.92,-15.88,0.27,0.3694,4.26,-14.82,0.29,0.3693,3.38,-13.84,0.7,8.772900869,3.136473497,83.76229221
53,BlackC,1,BC_B,NA,2-5,2,5,53.BlackC R1 B 2-5 (NA),0.32,0.3676,4.38,-15.84,1.38,0.3681,25.57,-17.2,0.21,0.3687,3.39,-16.82,0.25,0.3687,2.96,-15.19,0.61,5.145066232,3.600598836,88.8779397
54,BlackC,2,BC_B,NA,2-5,2,5,54.BlackC R2 B 2-5 (NA),0.27,0.3681,3.59,-14.85,1.24,0.3697,26.75,-17.08,0.15,0.3696,2.56,-15.5,0.23,0.3695,2.71,-14.29,0.61,3.092078513,3.326802942,89.0843899
55,BlackC,3,BC_B,NA,2-5,2,5,55.BlackC R3 B 2-5 (NA),0.29,0.3678,3.9,-15.72,1.41,0.3686,27.06,-17.92,0.11,0.3679,1.88,-18.72,0.25,0.369,2.94,-14.92,0.61,3.121552842,2.709345306,90.37601842
56,BlackC,4,BC_B,NA,2-5,2,5,56.BlackC R4 B 2-5 (NA),0.31,0.3677,4.31,-14.27,1.36,0.3689,28.97,-16.06,0.23,0.3699,3.63,-14.65,0.25,0.3689,3.03,-13.99,0.61,3.606228772,4.083223519,90.0165185
57,BlackC,1,BC_B,NA,5-10,5,10,57.BlackC R1 B 5-10 (NA),0.25,0.3683,3.21,-14.76,,,,,,,,,,,,,0.87,,,
58,BlackC,2,BC_B,NA,5-10,5,10,58.BlackC R2 B 5-10 (NA),0.21,0.3685,2.72,-14.65,,,,,,,,,,,,,0.87,,,
59,BlackC,3,BC_B,NA,5-10,5,10,59.BlackC R3 B 5-10 (NA),0.23,0.3676,2.98,-15.19,,,,,,,,,,,,,0.87,,,
60,BlackC,4,BC_B,NA,5-10,5,10,60.BlackC R4 B 5-10 (NA),0.24,0.367,3.19,-14.83,,,,,,,,,,,,,0.87,,,
